Week 2397: SIRGAS sol aligned to IGb20 (igs25P2397)              05-FEB-26 12:35
--------------------------------------------------------------------------------
LOCAL GEODETIC DATUM: IGb20             EPOCH: 2025-12-17 12:00:00

NUM  STATION NAME           X (M)          Y (M)          Z (M)     FLAG

473  JU03 42242M002    1585925.02475 -6057154.91238 -1215314.14191    A
492  KOKB 40424M004   -5543838.39411 -2054585.43534  2387810.63547    W
497  KOUG 97301M402    3855263.27639 -5049732.02744   563040.60115    A
498  KOUR 97301M210    3839591.30567 -5059567.60161   579957.29748    W
504  KSU1 49240M001    -570504.79207 -4923591.00904  4001208.44280    A
510  LAEC 42052M001    1448551.10212 -6211793.97146     9166.85517    A
514  LB01 42212M001    1113885.57608 -6235171.00868  -747868.01053    A
516  LBRA 40631M001     498667.09939 -6249670.19215  1168939.98736    A
518  LCRZ 40624M001     477017.72584 -6242093.36429  1217586.79938    A
525  LHCL 41518S001    2079355.52177 -4582903.70662 -3905925.46291    A
526  LI01 42203M001    1401321.27179 -6077986.51579 -1328580.30662    A
529  LIMN 40605M001     762717.47887 -6235556.43783  1099500.53674    A
530  LIPA 44470M001    2059459.29378 -5989686.07333   748860.13614    A
531  LJEC 42010M001    1192828.96482 -6252161.68253  -440799.05442    A
533  LMMF 97205M001    2993387.45382 -5399363.76444  1596748.24523    A
539  LPGS 41510M001    2780103.01062 -4437419.07583 -3629404.31493    W
540  LR01 42204M002    1832366.52323 -6095075.95543  -416563.68207    A
544  LROS 47007M001    2563522.44584 -4736854.92609 -3405097.83133    A
547  MABA 41642M001    4156055.59496 -4801656.59193  -592100.34257    A
548  MABB 48089M001    4512204.43923 -4483272.79716  -468521.65438    A
553  MAEC 42013M001    1312399.09072 -6237499.86553  -254805.64075    A
566  MAS1 31303M002    5439192.13252 -1522055.09967  2953455.15934    W
573  MBIO 41577M001    1529177.94076 -2321122.87403 -5721611.60162    A
579  MD01 42247M001    2212298.94903 -5819595.28919 -1381586.31278    A
580  MDO1 40442M012   -1329999.04153 -5328393.35726  3236504.04064    A
583  MEDE 41921S001    1579608.51404 -6142783.83742   684352.60271    A
586  MERI 40520M001      39480.59312 -5957733.08430  2269335.11750    A
592  MEXI 40519M001   -2312591.26760 -4853743.47379  3419740.48718    A
594  MGBH 41667M001    4320741.83153 -4161560.62601 -2161983.94720    A
595  MGIN 41647M001    4076879.97079 -4270391.07684 -2407417.83586    A
596  MGJF 48038M001    4308031.89568 -4069999.46276 -2351824.76380    A
597  MGJP 48102M001    4320163.28789 -4166849.21107 -2152574.23777    A
598  MGLA 48103M001    4208273.71101 -4204588.20774 -2295388.94353    A
599  MGMC 41624M002    4406284.94982 -4234092.97042 -1822973.50984    A
600  MGMT 48057M001    4081095.41538 -4457449.36580 -2034742.95973    A
603  MGRP 41680M001    4176141.97099 -4344591.32161 -2085669.47930    A
604  MGTO 48037M001    4547942.44769 -4023464.12508 -1946289.27598    A
605  MGUB 41652M001    4019130.62565 -4504012.69865 -2055168.50592    A
606  MGUE 41558M001    1823327.79389 -4850352.61383 -3709085.38977    A
609  MHEC 42022M001    1110451.97383 -6270365.52253  -360372.59228    A
611  MIMQ 49217M001     200984.40574 -4390006.89409  4607276.81984    A
613  MKEA 40477M001   -5464105.49521 -2495165.07172  2148291.86781    W
616  MONP 40497M004   -2386247.75109 -4802358.83605  3444902.52655    A
633  MSDR 48096M001    3395050.17533 -4836120.57654 -2394508.32953    A
634  MSGR 41649M002    3453185.80466 -4881336.25871 -2214148.37914    A
638  MSNV 48049M001    3436411.79538 -4763312.38789 -2479114.98486    A
639  MSPM 48033M001    3152080.51045 -5021735.54182 -2343379.02578    A
643  MTCA 48043M001    3275748.05789 -5179887.39121 -1760642.32257    A
647  MTGA 41663M002    3751756.50868 -4856320.03229 -1733551.10703    A
649  MTJI 48075M001    3246029.08641 -5343734.04487 -1257759.93719    A
652  MTLA 48051M001    3138167.63636 -5295897.57490 -1664555.74719    A
653  MTLE 48050M001    3588350.21682 -4990494.51720 -1699377.68327    A
658  MTSR 41689M001    3506741.00477 -5145977.29355 -1376425.00149    A
659  MTV1 42323S001    2914537.03582 -4349790.43405 -3630033.28107    A
662  MTY2 40518M001   -1029483.67988 -5657637.23353  2750926.03751    A
664  MZAC 41503M001    1932262.66582 -5001226.72253 -3444667.69625    A
665  MZAE 41530M001    1987261.15581 -4955975.89553 -3477976.84765    A
666  MZAL 41568M001    1960467.63388 -5001296.64658 -3428284.63219    A
668  MZAU 41556M001    1892847.81034 -4961663.11960 -3522715.21503    A
669  MZGA 41580M001    1985718.62549 -4840760.81172 -3636195.70383    A
670  MZRF 41528M003    1940547.26573 -4884191.53612 -3602973.45866    A
679  NAUS 41614M002    3179409.31825 -5519130.74563  -334109.85448    A
681  NEIA 41620M002    3875255.01068 -4292588.86399 -2681108.49502    A
682  NEIL 40606M001     774610.52484 -6258471.47865   952303.27023    A
683  NESA 41546M001    2106689.34341 -4407656.86631 -4086996.53935    A
684  NEVA 41923S001    1617259.95231 -6161575.09452   324674.94067    A
687  NIST 49507M002   -1288398.61597 -4721696.93600  4078625.32392    W
689  NJEC 42028M001    1147858.34058 -6267031.12841  -295701.07689    A
691  NKLG 32809M002    6287385.67876  1071574.99122    39133.30307    W
692  NLIB 40465M001    -130934.93238 -4762291.69657  4226854.60009    A
707  NYCO 40607M002     497578.69302 -6259494.71921  1115958.94958    A
708  OAFA 41508M001    1984093.34490 -5068868.13756 -3314487.85173    A
710  OAX2 40517M001    -713483.15758 -6058316.07529  1861594.65376    A
717  ONRJ 41635M001    4283638.38104 -4026028.98359 -2466096.55079    A
730  P012 49235M001   -1664354.38714 -4743666.99386  3915063.86940    A
736  P043 49226M001   -1128701.95661 -4465270.58445  4399615.85918    A
738  P051 49243M001   -1416839.27914 -4223178.94134  4551063.99496    A
739  P053 49255M001   -1283559.44099 -4015770.31469  4771131.51735    A
741  P389 44501M001   -2347408.40895 -3968718.98383  4394008.43611    A
743  P777 49251M001    -230304.18631 -5180477.14310  3701646.30818    A
745  P802 49299M001    -810033.01623 -4318611.96727  4608497.36406    A
751  PAAR 41683M002    3902042.81528 -5032797.92050  -354951.58561    A
755  PAIT 41685M001    3553351.96686 -5275278.41053  -473671.39323    A
756  PALM 66005M002    1192672.26456 -2450887.71550 -5747096.02961    A
758  PAMP 41944M001    1887275.37709 -6039949.36217   814591.64096    A
760  PARC 41716S001    1255992.59661 -3622975.28604 -5079719.11190    W
762  PASM 48063M001    3679758.46253 -5202672.03019  -268392.79248    A
764  PBCG 41656M001    5125899.39002 -3711505.74555  -795650.30282    A
